timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/22 10:02:21.812, 0, NVIDIA A100-SXM4-40GB, 6 %, 6 %, 2558 MiB, 40960 MiB
2026/01/22 10:03:21.812, 0, NVIDIA A100-SXM4-40GB, 8 %, 10 %, 4054 MiB, 40960 MiB
2026/01/22 10:04:21.812, 0, NVIDIA A100-SXM4-40GB, 6 %, 8 %, 3118 MiB, 40960 MiB
2026/01/22 10:05:21.812, 0, NVIDIA A100-SXM4-40GB, 8 %, 8 %, 3214 MiB, 40960 MiB
2026/01/22 10:06:21.812, 0, NVIDIA A100-SXM4-40GB, 10 %, 7 %, 3038 MiB, 40960 MiB
2026/01/22 10:07:21.812, 0, NVIDIA A100-SXM4-40GB, 7 %, 8 %, 3221 MiB, 40960 MiB
2026/01/22 10:08:21.812, 0, NVIDIA A100-SXM4-40GB, 9 %, 10 %, 4274 MiB, 40960 MiB
2026/01/22 10:09:21.812, 0, NVIDIA A100-SXM4-40GB, 9 %, 5 %, 2244 MiB, 40960 MiB
2026/01/22 10:10:21.812, 0, NVIDIA A100-SXM4-40GB, 9 %, 8 %, 3267 MiB, 40960 MiB
2026/01/22 10:11:21.812, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 2007 MiB, 40960 MiB
2026/01/22 10:12:21.812, 0, NVIDIA A100-SXM4-40GB, 6 %, 8 %, 3468 MiB, 40960 MiB
2026/01/22 10:13:21.812, 0, NVIDIA A100-SXM4-40GB, 10 %, 7 %, 2945 MiB, 40960 MiB
2026/01/22 10:14:21.812, 0, NVIDIA A100-SXM4-40GB, 4 %, 7 %, 2904 MiB, 40960 MiB
2026/01/22 10:15:21.812, 0, NVIDIA A100-SXM4-40GB, 8 %, 8 %, 3379 MiB, 40960 MiB
2026/01/22 10:16:21.812, 0, NVIDIA A100-SXM4-40GB, 11 %, 6 %, 2454 MiB, 40960 MiB
2026/01/22 10:17:21.812, 0, NVIDIA A100-SXM4-40GB, 7 %, 6 %, 2616 MiB, 40960 MiB
2026/01/22 10:18:21.812, 0, NVIDIA A100-SXM4-40GB, 10 %, 7 %, 2694 MiB, 40960 MiB
2026/01/22 10:19:21.812, 0, NVIDIA A100-SXM4-40GB, 8 %, 5 %, 2233 MiB, 40960 MiB
2026/01/22 10:20:21.812, 0, NVIDIA A100-SXM4-40GB, 8 %, 7 %, 3048 MiB, 40960 MiB
2026/01/22 10:21:21.812, 0, NVIDIA A100-SXM4-40GB, 8 %, 8 %, 3342 MiB, 40960 MiB
2026/01/22 10:22:21.812, 0, NVIDIA A100-SXM4-40GB, 6 %, 7 %, 2830 MiB, 40960 MiB
2026/01/22 10:23:21.812, 0, NVIDIA A100-SXM4-40GB, 10 %, 7 %, 2807 MiB, 40960 MiB
2026/01/22 10:24:21.812, 0, NVIDIA A100-SXM4-40GB, 8 %, 8 %, 3466 MiB, 40960 MiB
